Day,Title,Rank,Weight,Tag
월요웹툰,만남어플 중독,1,111,드라마
월요웹툰,만남어플 중독,1,111,비쥬얼쇼크
월요웹툰,만남어플 중독,1,111,컷툰
월요웹툰,만남어플 중독,1,111,고자극스릴러
월요웹툰,만남어플 중독,1,111,고자극드라마
월요웹툰,만남어플 중독,1,111,자극적인
월요웹툰,만남어플 중독,1,111,절망적인
월요웹툰,신체,2,110,스릴러
월요웹툰,신체,2,110,바디 호러
월요웹툰,신체,2,110,흑백
월요웹툰,신체,2,110,자극적인
월요웹툰,신체,2,110,블랙코미디
월요웹툰,신체,2,110,이능력
월요웹툰,신체,2,110,첫사랑
월요웹툰,신체,2,110,드라마
월요웹툰,참교육,3,109,액션
월요웹툰,참교육,3,109,사이다
월요웹툰,참교육,3,109,학원액션
월요웹툰,참교육,3,109,자극적인
월요웹툰,참교육,3,109,사회고발
월요웹툰,참교육,3,109,참교육
월요웹툰,참교육,3,109,블루스트링
월요웹툰,참교육,3,109,학원물
월요웹툰,환생천마,4,108,무협/사극
월요웹툰,환생천마,4,108,사이다
월요웹툰,환생천마,4,108,동양
월요웹툰,환생천마,4,108,환생
월요웹툰,환생천마,4,108,액션
월요웹툰,환생천마,4,108,고인물
월요웹툰,환생천마,4,108,환골탈태
월요웹툰,환생천마,4,108,동양풍판타지
월요웹툰,샤MONEY즘,5,107,판타지
월요웹툰,샤MONEY즘,5,107,오컬트판타지
월요웹툰,샤MONEY즘,5,107,자본주의
월요웹툰,샤MONEY즘,5,107,인생역전
월요웹툰,절대검감,6,106,무협/사극
월요웹툰,절대검감,6,106,동양
월요웹툰,절대검감,6,106,이능력
월요웹툰,절대검감,6,106,모험
월요웹툰,절대검감,6,106,액션
월요웹툰,절대검감,6,106,성장물
월요웹툰,절대검감,6,106,환골탈태
월요웹툰,절대검감,6,106,회귀
월요웹툰,절대검감,6,106,판무
월요웹툰,백수세끼,7,105,드라마
월요웹툰,백수세끼,7,105,리얼로맨스
월요웹툰,백수세끼,7,105,공감
월요웹툰,백수세끼,7,105,캠퍼스
월요웹툰,백수세끼,7,105,오피스
월요웹툰,백수세끼,7,105,평범남
월요웹툰,백수세끼,7,105,평범녀
월요웹툰,백수세끼,7,105,재회
월요웹툰,이직로그,8,104,로맨스
월요웹툰,이직로그,8,104,러브코미디
월요웹툰,이직로그,8,104,오피스
월요웹툰,이직로그,8,104,능력녀
월요웹툰,이직로그,8,104,요즘핫한추천작
월요웹툰,이직로그,8,104,로맨스코미디
월요웹툰,마음의소리(였던 것),9,103,개그
월요웹툰,마음의소리(였던 것),9,103,열혈병맛개그
월요웹툰,마음의소리(였던 것),9,103,공감
월요웹툰,마음의소리(였던 것),9,103,병맛
월요웹툰,마음의소리(였던 것),9,103,가벼운
