Tag,Count
로맨스,254
판타지,244
액션,163
드라마,154
성장물,102
개그,92
스릴러,84
자극적인,80
소설원작,79
액션판타지,79
현대,75
청춘,73
가벼운,62
사이다,61
우정,59
무협/사극,54
설렘폭발,54
공감,53
일상,53
소년물,49
감성적인,47
가족,46
모험,45
이능력,44
서양,44
시리어스,42
먼치킨,40
세계관,38
복수극,38
학원물,37
크리처,35
스포츠,35
동양,34
무해한,34
힐링,33
리얼로맨스,33
고자극드라마,33
러브코미디,32
회귀,32
게임,32
상태창,32
병맛,32
현대판타지,31
범죄,31
능력녀,31
감성,30
왕족/귀족,30
판타지개그,30
일상개그힐링,30
컷툰,30
로맨틱코미디,30
마법,29
생존,29
라이벌,28
러블리,28
열혈,28
미친작화,27
미스터리,27
인외존재,27
학원로맨스,27
오피스,26
첫사랑,26
배틀,26
고인물,26
고자극스릴러,25
게임판타지,24
오컬트,23
치명적인,23
명랑녀,22
학원액션,22
성장드라마,21
아포칼립스,21
느와르,21
능력남,20
혐관,20
동양풍판타지,20
사연남,19
오컬트판타지,19
능글남,19
직업드라마,19
참교육,19
로판,18
성인웹툰,18
신화,18
판무,17
이세계,17
캠퍼스,16
공포,16
나쁜남자,16
열혈병맛개그,16
중세판타지액션,16
로맨스코미디,16
환골탈태,15
하이퍼리얼리즘,15
악역이주인공,15
타임슬립,15
하이틴,15
순정남,14
공식미남,14
동물,14
아카데미물,14
계략남,14
하렘,14
전쟁,14
SF,14
용사,14
소심녀,14
시대물,14
결혼생활,14
절망적인,14
사연녀,13
연애/결혼공감,13
서바이벌,13
동양풍로맨스,12
블랙코미디,12
인생역전,12
평범녀,12
집착남,12
차원이동,12
다크판타지,12
구원서사,12
힘숨찐,12
정치,11
소년왕도물,11
청춘로맨스,11
환생,11
재벌남,11
무심남,11
햇살녀,11
후회물,11
헌터물,10
고자극로맨스,10
빙의,10
다정남,10
폭스남,10
짝사랑,10
격투기,10
과거,9
액션아포칼립스,9
중세,9
외유내강녀,9
이능력배틀물,9
최강자전,8
빌런,8
예술,8
순진남,8
스포츠성장,8
4차원,8
햇살남,8
계약연애,8
재벌,8
감성드라마,8
까칠녀,8
유혹남,8
눈물샘자극,8
피카레스크,8
연예계,8
바디 호러,8
서스펜스,8
재회,8
육아물,7
순애남,7
동아리,7
아이돌,7
걸크러시,7
중년,7
혐관로맨스,7
두뇌싸움,7
흑백,7
짝사랑녀,7
직진녀,7
햇살캐,7
헌신남,7
괴담,6
짝사랑남,6
직진남,6
대형견남,6
비쥬얼쇼크,6
자본주의,6
해외작품,6
평범남,6
계략녀,5
야구,5
정통무협,5
옴니버스,5
미래,5
까칠남,5
짐승남,5
오피스로맨스,5
인소감성,5
연하남,5
무심녀,5
캠퍼스로맨스,5
순진녀,5
공식미녀,5
삼각관계,4
철벽녀,4
소꿉친구,4
사회고발,4
공감성수치,4
음식&요리,4
로맨스릴러,4
성장로판,4
던전물,4
선결혼후연애,4
좀비,4
후회남,4
연예계로맨스,4
아방녀,4
소심남,4
전남친,4
감염,3
레트로,3
역사판타지,3
뱀파이어,3
순정녀,3
이세계요리,3
악녀,3
유혹녀,3
밀리터리,3
사내연애,3
축구,3
연상연하,3
재벌녀,3
얼빠녀,3
집착물,3
할리퀸,2
궁중로맨스,2
SF액션,2
농사,2
퓨전사극,2
순애녀,2
비밀연애,2
친구>연인,2
역사물,2
낮져밤이,2
4컷만화,2
군림녀,2
인플루언서,2
다정녀,2
사이비종교,2
사천당가,2
애니메이션,1
투병,1
데스게임,1
프리퀄,1
아이돌연애,1
법정드라마,1
히어로,1
의학드라마,1
농구,1
다크히어로,1
