Tag,Count,popular index,Efficiency Index
농사,2,196,98.0
판무,17,1656,97.41176470588235
4컷만화,2,193,96.5
비쥬얼쇼크,6,556,92.66666666666667
할리퀸,2,185,92.5
의학드라마,1,92,92.0
사천당가,2,178,89.0
중년,7,611,87.28571428571429
무협/사극,54,4611,85.38888888888889
바디 호러,8,671,83.875
격투기,10,827,82.7
밀리터리,3,246,82.0
사회고발,4,327,81.75
고인물,26,2095,80.57692307692308
정통무협,5,396,79.2
참교육,19,1503,79.10526315789474
이세계요리,3,235,78.33333333333333
성인웹툰,18,1405,78.05555555555556
빙의,10,743,74.3
고자극드라마,33,2415,73.18181818181819
재벌,8,582,72.75
다정녀,2,145,72.5
힘숨찐,12,869,72.41666666666667
연애/결혼공감,13,938,72.15384615384616
먼치킨,40,2840,71.0
사이다,61,4306,70.59016393442623
시리어스,42,2947,70.16666666666667
오피스,26,1817,69.88461538461539
농구,1,69,69.0
연하남,5,343,68.6
절망적인,14,954,68.14285714285714
회귀,32,2154,67.3125
동양풍판타지,20,1342,67.1
법정드라마,1,67,67.0
환생,11,734,66.72727272727273
연상연하,3,198,66.0
아카데미물,14,921,65.78571428571429
로맨스릴러,4,263,65.75
게임판타지,24,1569,65.375
인생역전,12,784,65.33333333333333
하이퍼리얼리즘,15,976,65.06666666666666
SF액션,2,130,65.0
악역이주인공,15,972,64.8
자극적인,80,5162,64.525
직업드라마,19,1222,64.3157894736842
헌터물,10,643,64.3
음식&요리,4,257,64.25
세계관,38,2426,63.8421052631579
용사,14,893,63.785714285714285
외유내강녀,9,574,63.77777777777778
전쟁,14,888,63.42857142857143
상태창,32,2020,63.125
아포칼립스,21,1324,63.04761904761905
군림녀,2,126,63.0
액션,163,10218,62.68711656441718
소설원작,79,4949,62.64556962025316
크리처,35,2191,62.6
게임,32,1993,62.28125
공감성수치,4,248,62.0
공감,53,3285,61.9811320754717
사내연애,3,185,61.666666666666664
미친작화,27,1664,61.629629629629626
고자극스릴러,25,1531,61.24
환골탈태,15,916,61.06666666666667
중세판타지액션,16,971,60.6875
학원액션,22,1329,60.40909090909091
컷툰,30,1811,60.36666666666667
햇살캐,7,421,60.142857142857146
하렘,14,840,60.0
유혹남,8,479,59.875
재벌녀,3,179,59.666666666666664
이세계,17,1013,59.588235294117645
복수극,38,2264,59.578947368421055
피카레스크,8,472,59.0
동양,34,2004,58.94117647058823
타임슬립,15,869,57.93333333333333
서바이벌,13,752,57.84615384615385
결혼생활,14,804,57.42857142857143
오피스로맨스,5,287,57.4
열혈병맛개그,16,918,57.375
유혹녀,3,171,57.0
학원물,37,2107,56.945945945945944
왕족/귀족,30,1708,56.93333333333333
치명적인,23,1307,56.82608695652174
소심녀,14,791,56.5
청춘로맨스,11,620,56.36363636363637
마법,29,1625,56.03448275862069
범죄,31,1737,56.03225806451613
폭스남,10,560,56.0
평범녀,12,666,55.5
병맛,32,1771,55.34375
차원이동,12,662,55.166666666666664
정치,11,606,55.09090909090909
소년왕도물,11,604,54.90909090909091
스릴러,84,4603,54.79761904761905
악녀,3,164,54.666666666666664
옴니버스,5,273,54.6
집착남,12,652,54.333333333333336
액션아포칼립스,9,489,54.333333333333336
순애남,7,380,54.285714285714285
삼각관계,4,217,54.25
고자극로맨스,10,542,54.2
캠퍼스,16,864,54.0
느와르,21,1134,54.0
리얼로맨스,33,1778,53.878787878787875
오컬트,23,1238,53.82608695652174
능력녀,31,1668,53.806451612903224
판타지,244,13099,53.6844262295082
사이비종교,2,107,53.5
퓨전사극,2,107,53.5
동물,14,747,53.357142857142854
현대,75,3997,53.29333333333334
로판,18,956,53.111111111111114
드라마,154,8138,52.84415584415584
야구,5,264,52.8
액션판타지,79,4166,52.734177215189874
신화,18,949,52.72222222222222
