Tag,popular index
판타지,13099
로맨스,10895
액션,10218
드라마,8138
성장물,5197
자극적인,5162
소설원작,4949
개그,4758
무협/사극,4611
스릴러,4603
사이다,4306
액션판타지,4166
현대,3997
공감,3285
가벼운,3238
청춘,3090
시리어스,2947
먼치킨,2840
일상,2718
소년물,2554
설렘폭발,2511
세계관,2426
우정,2424
고자극드라마,2415
가족,2378
이능력,2311
복수극,2264
모험,2257
감성적인,2201
크리처,2191
서양,2165
회귀,2154
학원물,2107
고인물,2095
상태창,2020
동양,2004
게임,1993
오피스,1817
컷툰,1811
리얼로맨스,1778
병맛,1771
무해한,1759
범죄,1737
왕족/귀족,1708
힐링,1672
능력녀,1668
미친작화,1664
판무,1656
마법,1625
게임판타지,1569
고자극스릴러,1531
참교육,1503
생존,1496
판타지개그,1483
열혈,1462
스포츠,1419
성인웹툰,1405
감성,1390
러브코미디,1367
현대판타지,1356
동양풍판타지,1342
러블리,1336
학원액션,1329
아포칼립스,1324
첫사랑,1312
치명적인,1307
배틀,1287
일상개그힐링,1260
오컬트,1238
직업드라마,1222
인외존재,1135
느와르,1134
미스터리,1098
로맨틱코미디,1034
이세계,1013
명랑녀,985
능력남,979
하이퍼리얼리즘,976
악역이주인공,972
중세판타지액션,971
로판,956
절망적인,954
신화,949
연애/결혼공감,938
아카데미물,921
열혈병맛개그,918
환골탈태,916
용사,893
능글남,890
전쟁,888
라이벌,885
성장드라마,875
사연남,869
힘숨찐,869
타임슬립,869
캠퍼스,864
하렘,840
격투기,827
혐관,826
나쁜남자,824
결혼생활,804
소심녀,791
인생역전,784
공포,759
서바이벌,752
동물,747
빙의,743
환생,734
오컬트판타지,733
계략남,729
학원로맨스,688
바디 호러,671
평범녀,666
차원이동,662
집착남,652
헌터물,643
공식미남,642
시대물,634
사연녀,634
로맨스코미디,630
청춘로맨스,620
중년,611
SF,607
정치,606
소년왕도물,604
재벌,582
외유내강녀,574
블랙코미디,573
폭스남,560
비쥬얼쇼크,556
재벌남,547
고자극로맨스,542
순정남,524
햇살녀,513
다정남,510
액션아포칼립스,489
유혹남,479
피카레스크,472
이능력배틀물,470
구원서사,460
짝사랑,456
다크판타지,434
후회물,428
햇살캐,421
중세,417
무심남,416
하이틴,416
눈물샘자극,404
정통무협,396
빌런,389
햇살남,382
순애남,380
예술,372
흑백,368
연예계,367
아이돌,351
두뇌싸움,350
동양풍로맨스,348
연하남,343
감성드라마,341
과거,335
서스펜스,334
사회고발,327
스포츠성장,323
까칠녀,318
평범남,314
육아물,310
자본주의,309
대형견남,307
재회,300
순진남,289
오피스로맨스,287
4차원,284
계약연애,282
괴담,277
옴니버스,273
헌신남,270
걸크러시,267
야구,264
로맨스릴러,263
최강자전,263
짝사랑녀,261
순진녀,257
음식&요리,257
공감성수치,248
밀리터리,246
짐승남,238
이세계요리,235
캠퍼스로맨스,226
삼각관계,217
직진녀,205
연상연하,198
농사,196
소심남,195
4컷만화,193
무심녀,191
계략녀,190
할리퀸,185
사내연애,185
선결혼후연애,183
짝사랑남,182
재벌녀,179
사천당가,178
혐관로맨스,175
공식미녀,174
아방녀,172
유혹녀,171
좀비,169
직진남,165
악녀,164
레트로,146
다정녀,145
동아리,142
후회남,141
축구,140
SF액션,130
성장로판,129
인소감성,129
전남친,127
군림녀,126
역사판타지,126
뱀파이어,121
순정녀,119
해외작품,114
사이비종교,107
퓨전사극,107
낮져밤이,104
던전물,102
소꿉친구,96
철벽녀,93
역사물,92
의학드라마,92
궁중로맨스,89
감염,84
까칠남,83
친구>연인,74
연예계로맨스,71
미래,70
농구,69
집착물,68
법정드라마,67
인플루언서,64
순애녀,57
애니메이션,47
얼빠녀,37
투병,25
비밀연애,23
아이돌연애,23
히어로,19
프리퀄,18
데스게임,17
다크히어로,9
