Tag,popular_index,count,ratio(%)
판타지,1990,37,4.804094343722086
로맨스,1502,34,3.6260048765178765
드라마,1380,29,3.3314825097168237
사이다,1224,16,2.954880139053183
액션,1158,21,2.795548366849335
소설원작,1083,15,2.6144895347995076
성장물,964,21,2.327209521280448
자극적인,960,13,2.3175530502377906
무협/사극,915,11,2.208917751007894
액션판타지,804,15,1.9409506795741498
개그,646,13,1.55952007338918
청춘,646,14,1.55952007338918
소년물,566,9,1.3663906525360308
가벼운,542,10,1.308451826280086
모험,519,9,1.2529271177848056
치명적인,494,8,1.1925741737681965
먼치킨,487,6,1.1756753494435457
현대,442,9,1.0670400502136494
이능력,434,10,1.0477271081283344
공감,430,8,1.0380706370856772
게임,426,6,1.0284141660430195
판타지개그,403,7,0.9728894575477391
회귀,402,6,0.9704753397870749
일상,400,8,0.9656471042657461
시리어스,399,6,0.9632329865050817
우정,389,11,0.939091808898438
서양,368,6,0.8883953359244865
성인웹툰,353,5,0.8521835695145209
왕족/귀족,346,5,0.8352847451898704
학원액션,344,5,0.8304565096685417
게임판타지,343,5,0.8280423919078773
스릴러,328,5,0.7918306254979117
고자극스릴러,325,4,0.7845882722159186
가족,325,7,0.7845882722159186
스포츠,321,6,0.7749318011732612
하렘,318,5,0.7676894478912681
학원물,315,4,0.7604470946092751
병맛,306,6,0.7387200347632957
설렘폭발,304,6,0.733891799241967
성장드라마,302,4,0.7290635637206383
고인물,302,5,0.7290635637206383
힐링,297,5,0.7169929749173165
레드아이스 스튜디오,291,5,0.7025082683533304
상태창,286,3,0.6904376795500085
열혈,279,5,0.673538855225358
무해한,276,5,0.6662965019433648
컷툰,272,4,0.6566400309007073
참교육,266,3,0.6421553243367212
동양,265,6,0.6397412065760568
악역이주인공,260,3,0.6276706177727349
직업드라마,255,4,0.6156000289694131
세계관,253,4,0.6107717934480844
환골탈태,243,6,0.5866306158414407
동양풍판타지,239,4,0.5769741447987833
복수극,228,4,0.5504188494314752
전쟁,221,4,0.5335200251068247
고자극로맨스,220,3,0.5311059073461603
인생역전,207,4,0.4997223764575236
현대판타지,202,5,0.4876517876542018
지금추천작,201,2,0.48523766989353745
판무,201,2,0.48523766989353745
리얼로맨스,197,4,0.47558119885087996
라이벌,197,6,0.47558119885087996
고자극드라마,192,2,0.4635106100475581
로판,190,3,0.4586823745262294
능력녀,187,3,0.4514400212442363
격투기,186,2,0.4490259034835719
일상개그힐링,184,4,0.44419766796224325
공식미남,182,4,0.4393694324409145
로맨틱코미디,179,6,0.4321270791589214
정통무협,174,2,0.4200564903555995
햇살캐,173,2,0.4176423725949352
폭스남,172,2,0.41522825483427084
신화,171,4,0.4128141370736064
오피스,170,2,0.41040001931294207
마법,167,3,0.40315766603094894
범죄,165,4,0.3983294305096203
4차원,164,4,0.39591531274895586
사연녀,163,3,0.3935011949882915
계략남,162,3,0.3910870772276272
크리처,160,3,0.38625884170629843
로맨스코미디,159,3,0.38384472394563407
감성,158,5,0.3814306061849697
재벌남,155,3,0.3741882529029766
요즘핫한추천작,153,2,0.36936001738164786
감성적인,152,6,0.3669458996209835
첫사랑,148,3,0.357289428578326
하이퍼리얼리즘,143,2,0.3452188397750042
평범녀,140,3,0.33797648649301115
구원서사,139,2,0.33556236873234674
연상연하,137,2,0.330734133211018
오컬트판타지,134,4,0.32349177992902495
혐관,133,3,0.3210776621683606
서바이벌,131,3,0.3162494266470319
학원로맨스,131,4,0.3162494266470319
능력남,127,2,0.3065929556043744
나쁜남자,126,2,0.30417883784371
삼각관계,125,2,0.30176472008304567
절망적인,125,2,0.30176472008304567
미친작화,121,4,0.2921082490403882
블랙코미디,118,2,0.2848658957583951
무심남,115,2,0.27762354247640203
2024 지상최대공모전,115,3,0.27762354247640203
소년왕도물,110,2,0.2655529536730801
명작,102,1,0.24624001158776526
농사,101,1,0.2438258938271009
열혈병맛개그,100,1,0.24141177606643652
생존,98,1,0.23658354054510777
아카데미물,98,1,0.23658354054510777
짝사랑녀,97,2,0.23416942278444344
서스펜스,95,1,0.2293411872631147
눈물샘자극,95,1,0.2293411872631147
러브코미디,94,3,0.2269270695024503
후회물,93,2,0.22451295174178595
자본주의,93,1,0.22451295174178595
연애/결혼공감,93,2,0.22451295174178595
재벌,93,1,0.22451295174178595
까칠녀,93,3,0.22451295174178595
계약연애,92,2,0.22209883398112162
러블리,89,3,0.2148564806991285
사연남,89,2,0.2148564806991285
피카레스크,89,1,0.2148564806991285
정치,88,2,0.21244236293846414
비쥬얼쇼크,87,1,0.21002824517779975
로맨스릴러,87,1,0.21002824517779975
이세계,86,1,0.20761412741713542
빙의,84,1,0.20278589189580667
다정남,81,1,0.1955435386138136
블루스트링,80,1,0.19312942085314921
결혼생활,79,2,0.19071530309248486
중년,79,1,0.19071530309248486
2020 지상최대공모전,77,1,0.1858870675711561
액션아포칼립스,77,2,0.1858870675711561
계략녀,76,2,0.18347294981049175
빌런,74,1,0.178644714289163
힘숨찐,73,1,0.17623059652849865
하이틴,73,1,0.17623059652849865
혐관로맨스,73,2,0.17623059652849865
유혹남,70,1,0.16898824324650558
음식&요리,69,1,0.1665741254858412
낮져밤이,68,1,0.16416000772517683
괴담,67,2,0.16174588996451247
연하남,67,1,0.16174588996451247
배틀,66,2,0.1593317722038481
스포츠성장,66,2,0.1593317722038481
걸크러시,65,1,0.15691765444318373
연예계,64,1,0.15450353668251937
흑백,62,1,0.14967530116119065
SF액션,62,1,0.14967530116119065
순정남,60,1,0.1448470656398619
캠퍼스,59,2,0.14243294787919755
과거,58,2,0.14001883011853317
타임슬립,57,3,0.1376047123578688
순진남,56,2,0.13519059459720445
집착남,55,1,0.13277647683654006
중세,55,2,0.13277647683654006
동양풍로맨스,54,2,0.13036235907587573
역사물,53,1,0.12794824131521138
두뇌싸움,53,1,0.12794824131521138
독자PICK,50,4,0.12070588803321826
궁중로맨스,49,1,0.11829177027255389
SF,49,2,0.11829177027255389
선결혼후연애,49,1,0.11829177027255389
미스터리,48,1,0.11587765251188953
애니메이션,47,1,0.11346353475122516
오컬트,47,2,0.11346353475122516
공포,47,1,0.11346353475122516
최강자전,45,2,0.10863529922989644
느와르,43,2,0.10380706370856771
역사판타지,43,1,0.10380706370856771
직진녀,40,1,0.09656471042657461
2025 지상최대공모전,39,1,0.09415059266591025
2024 최강자전,38,1,0.09173647490524588
