Tag,popular_index,count,ratio(%)
판타지,2327,45,6.114994481526252
액션,1651,26,4.338571503652704
드라마,1337,26,3.513428286119725
로맨스,1276,34,3.3531297629684134
성장물,926,18,2.433384138329742
요즘핫한추천작,646,10,1.6975876386188047
개그,645,12,1.69495979397698
공감,574,9,1.508382824407421
가벼운,563,10,1.4794765333473485
소설원작,545,8,1.4321753297945026
일상,539,9,1.4164082619435538
상태창,529,8,1.3901298155253061
게임,524,8,1.3769905923161823
현대,518,12,1.3612235244652338
소년물,508,12,1.334945078046986
스릴러,501,10,1.3165501655542124
우정,477,9,1.2534818941504178
설렘폭발,450,9,1.182530088821149
고자극드라마,446,5,1.17201871025385
먼치킨,443,7,1.1641351763283756
크리처,441,7,1.1588794870447259
리얼로맨스,428,7,1.1247175067010038
자극적인,421,6,1.1063225942082304
액션판타지,415,9,1.0905555263572817
세계관,414,7,1.087927681715457
이능력,386,6,1.0143480317443632
마법,380,6,0.9985809638934147
러블리,379,7,0.9959531192515898
감성,377,8,0.9906974299679403
감성적인,368,9,0.9670468281915173
무협/사극,354,4,0.9302570032059705
청춘,351,9,0.9223734692804961
로맨틱코미디,329,6,0.8645608871603511
가족,314,6,0.8251432175329796
2024 연재직행열차,312,5,0.8198875282493299
고자극스릴러,304,4,0.7988647711147316
미친작화,295,4,0.7752141693383087
사이다,294,5,0.7725863246964839
절망적인,293,4,0.7699584800546592
지금추천작,292,4,0.7673306354128344
판무,289,3,0.75944710148736
명랑녀,285,5,0.7489357229200609
현대판타지,284,6,0.7463078782782362
학원물,280,5,0.7357964997109371
무해한,279,6,0.7331686550691123
능글남,271,5,0.7121458979345141
힐링,257,7,0.6753560729489673
게임판타지,251,4,0.6595890050980187
복수극,249,4,0.654333315814369
배틀,244,5,0.6411940926052452
서양,242,6,0.6359384033215956
이세계,242,5,0.6359384033215956
학원액션,241,4,0.6333105586797709
악역이주인공,234,3,0.6149156461869973
미스터리,225,7,0.5912650444105745
열혈,225,4,0.5912650444105745
시리어스,221,3,0.5807536658432753
생존,216,3,0.5676144426341514
정치,203,4,0.5334524622904294
오피스,202,4,0.5308246176486047
컷툰,200,3,0.5255689283649551
감성드라마,192,3,0.5045461712303568
동양,191,3,0.5019183265885321
동물,189,4,0.4966626373048825
병맛,189,4,0.4966626373048825
첫사랑,189,4,0.4966626373048825
비쥬얼쇼크,188,2,0.4940347926630577
연애/결혼공감,185,2,0.48615125873758347
서바이벌,185,2,0.48615125873758347
일상개그힐링,183,4,0.48089556945393386
공포,173,3,0.45461712303568613
참교육,173,2,0.45461712303568613
짝사랑,171,3,0.4493614337520366
레드아이스 스튜디오,170,2,0.44673358911021177
범죄,167,4,0.4388500551847375
신화,165,2,0.4335943659010879
캠퍼스,157,2,0.4125716087664898
소심녀,155,2,0.4073159194828401
열혈병맛개그,149,2,0.39154885163189157
러브코미디,148,3,0.38892100699006676
아이돌,145,3,0.3810374730645924
걸크러시,145,2,0.3810374730645924
아카데미물,143,2,0.37578178378094285
능력녀,134,4,0.35213118200451987
차원이동,133,3,0.3495033373626951
회귀,133,3,0.3495033373626951
결혼생활,132,2,0.34687549272087037
하이퍼리얼리즘,128,2,0.33636411415357126
성장드라마,125,4,0.3284805802280969
로맨스코미디,124,5,0.32585273558627215
직업드라마,119,3,0.3127135123771483
느와르,117,2,0.30745782309349867
모험,114,4,0.2995742891680244
로판,114,2,0.2995742891680244
재벌,113,2,0.2969464445261996
인외존재,111,3,0.29169075524255006
평범남,109,2,0.2864350659589005
다정남,109,2,0.2864350659589005
이능력배틀물,103,2,0.27066799810795183
연예계,103,3,0.27066799810795183
SF,102,1,0.2680401534661271
블랙코미디,102,2,0.2680401534661271
타임슬립,100,1,0.26278446418247753
드라마&영화 원작웹툰,100,1,0.26278446418247753
나쁜남자,99,1,0.2601566195406527
폭스남,98,2,0.257528774898828
판타지개그,96,2,0.2522730856151784
퓨전사극,96,1,0.2522730856151784
왕족/귀족,96,3,0.2522730856151784
농사,95,1,0.24964524097335367
스포츠,94,3,0.24701739633152886
라이벌,93,3,0.2443895516897041
4컷만화,93,1,0.2443895516897041
중년,92,1,0.24176170704787933
이세계요리,90,1,0.2365060177642298
다크판타지,89,3,0.233878173122405
