Tag,popular_index,count,ratio(%)
로맨스,1536,36,4.177772942392428
액션,1437,24,3.9085024207147905
판타지,1417,33,3.85410433552739
스릴러,1059,18,2.8803786106729046
무협/사극,891,11,2.423434695098732
개그,834,14,2.2684001523146384
시리어스,718,11,1.9528912582277105
성장물,685,12,1.863134417668498
소설원작,664,12,1.8060164282217266
자극적인,645,15,1.7543382472936953
드라마,604,16,1.6428221726595225
요즘핫한추천작,564,8,1.5340260022847196
사이다,562,8,1.5285861937659795
학원물,550,8,1.4959473426535386
먼치킨,549,8,1.4932274383941684
복수극,537,9,1.4605885872817277
현대,536,9,1.4578686830223575
가벼운,459,10,1.2484360550508622
고자극드라마,407,7,1.1070010335636185
세계관,406,7,1.1042811293042485
성인웹툰,402,5,1.0934015122667682
지금추천작,366,4,0.9954849589294457
일상,345,7,0.9383669694826742
오컬트,335,5,0.9111679268889734
동양,330,5,0.8975684055921233
서양,326,7,0.8866887885546428
이능력,325,5,0.8839688842952729
아포칼립스,322,4,0.8758091715171625
컷툰,319,6,0.8676494587390523
범죄,318,4,0.8649295544796823
공감,316,5,0.8594897459609422
무해한,299,7,0.813251373551651
환생,277,3,0.7534134798455094
힘숨찐,270,3,0.7343741500299189
생존,270,6,0.7343741500299189
고인물,265,3,0.7207746287330686
열혈병맛개그,263,4,0.7153348202143284
상태창,261,4,0.7098950116955883
게임판타지,258,4,0.7017352989174781
학원액션,251,4,0.6826959691018877
힐링,251,4,0.6826959691018877
현대판타지,251,3,0.6826959691018877
소년물,244,5,0.6636566392862971
중세판타지액션,244,4,0.6636566392862971
미친작화,243,6,0.6609367350269271
가족,238,4,0.6473372137300767
러블리,231,5,0.6282978839144862
액션판타지,226,8,0.6146983626176359
빙의,226,3,0.6146983626176359
러브코미디,226,5,0.6146983626176359
감성적인,224,5,0.6092585540988957
청춘로맨스,224,3,0.6092585540988957
게임,217,3,0.5902192242833052
크리처,215,4,0.584779415764565
느와르,205,3,0.5575803731708644
인생역전,201,3,0.5467007561333841
신화,200,3,0.543980851874014
마법,192,3,0.5222216177990535
첫사랑,191,5,0.5195017135396834
환골탈태,191,2,0.5195017135396834
설렘폭발,183,5,0.49774247946472283
판무,179,2,0.4868628624272425
일상개그힐링,179,6,0.4868628624272425
청춘,177,5,0.48142305390850243
인외존재,174,2,0.47326334113039226
액션아포칼립스,172,3,0.46782353261165205
격투기,169,2,0.4596638198335419
로판,165,3,0.4487842027960616
리얼로맨스,164,3,0.4460642985366915
짝사랑,163,4,0.4433443942773214
참교육,163,2,0.4433443942773214
회귀,161,3,0.43790458575858127
우정,160,2,0.43518468149921125
스포츠,159,3,0.43246477723984117
직업드라마,158,2,0.4297448729804711
좀비,158,3,0.4297448729804711
오피스,156,2,0.4243050644617309
폭스남,153,3,0.4161453516836207
타임슬립,151,3,0.4107055431648806
배틀,147,3,0.3998259261274003
시대물,145,4,0.39438611760866016
동물,142,2,0.38622640483055
미스터리,141,4,0.3835065005711799
왕족/귀족,138,3,0.3753467877930697
사내연애,133,2,0.36174726649621936
공포,133,2,0.36174726649621936
전쟁,132,2,0.3590273622368493
소심녀,132,3,0.3590273622368493
병맛,131,2,0.3563074579774792
다크판타지,131,3,0.3563074579774792
이능력배틀물,130,2,0.3535875537181091
계약연애,129,4,0.35086764945873905
학원로맨스,128,3,0.348147745199369
햇살캐,126,2,0.3427079366806288
후회물,125,3,0.3399880324212588
재벌,124,2,0.33726812816188867
로맨스코미디,122,3,0.3318283196431486
용사,122,2,0.3318283196431486
나쁜남자,122,2,0.3318283196431486
연애/결혼공감,119,2,0.32366860686503834
고자극스릴러,116,4,0.3155088940869281
정치,114,2,0.310069085568188
피카레스크,108,2,0.29374966001196756
사이비종교,107,2,0.2910297557525975
독자PICK,106,4,0.28830985149322746
빌런,106,2,0.28830985149322746
능력남,105,3,0.28558994723385733
치명적인,105,2,0.28558994723385733
전남친,105,2,0.28558994723385733
동아리,105,3,0.28558994723385733
헌터물,103,1,0.28015013871511724
레드아이스 스튜디오,103,1,0.28015013871511724
옴니버스,102,2,0.27743023445574716
두뇌싸움,98,1,0.2665506174182669
하이퍼리얼리즘,97,1,0.2638307131588968
아카데미물,96,1,0.26111080889952676
동양풍판타지,95,1,0.2583909046401567
선결혼후연애,94,2,0.2556710003807866
순애남,93,2,0.25295109612141653
사천당가,92,1,0.25023119186204645
캠퍼스,91,2,0.2475112876026764
오컬트판타지,86,1,0.23391176630582602
평범녀,86,2,0.23391176630582602
블랙코미디,85,2,0.23119186204645595
결혼생활,83,2,0.22575205352771582
차원이동,81,1,0.22031224500897567
이세계,81,1,0.22031224500897567
하이틴,80,2,0.21759234074960562
중세,80,2,0.21759234074960562
중년,79,1,0.21487243649023555
이세계요리,78,1,0.21215253223086544
짝사랑녀,77,2,0.2094326279714954
라이벌,75,2,0.20399281945275527
2024 지상최대공모전,73,1,0.19855301093401512
감성,71,2,0.193113202415275
열혈,69,1,0.18767339389653484
농구,69,1,0.18767339389653484
재벌녀,66,1,0.17951368111842464
소꿉친구,66,2,0.17951368111842464
고자극로맨스,62,2,0.16863406408094433
눈물샘자극,61,1,0.1659141598215743
연예계,60,1,0.1631942555622042
인플루언서,60,1,0.1631942555622042
순정남,59,2,0.16047435130283413
과거,56,1,0.15231463852472393
미래,56,2,0.15231463852472393
악역이주인공,54,1,0.14687483000598378
순진남,54,1,0.14687483000598378
악녀,54,1,0.14687483000598378
성장로판,54,1,0.14687483000598378
까칠녀,52,1,0.14143502148724366
하렘,52,1,0.14143502148724366
캠퍼스로맨스,52,1,0.14143502148724366
명랑녀,51,2,0.13871511722787358
2024 연재직행열차,51,1,0.13871511722787358
레트로,48,1,0.13055540444976338
능력녀,48,2,0.13055540444976338
판타지개그,47,1,0.1278355001903933
다정남,46,1,0.12511559593102323
아이돌,42,1,0.11423597889354295
능글남,40,2,0.10879617037480281
2023 지상최대공모전,39,2,0.10607626611543272
모험,37,2,0.10063645759669258
오피스로맨스,36,1,0.09791655333732253
낮져밤이,36,1,0.09791655333732253
철벽녀,31,1,0.08431703204047217
연예계로맨스,31,1,0.08431703204047217
2020 지상최대공모전,29,1,0.07887722352173203
감염,29,1,0.07887722352173203
계략남,28,2,0.07615731926236197
친구>연인,26,1,0.07071751074362183
집착남,25,1,0.06799760648425175
동양풍로맨스,25,1,0.06799760648425175
계략녀,23,1,0.06255779796551161
유혹녀,20,1,0.054398085187401406
히어로,19,1,0.051678180928031336
해외작품,17,2,0.0462383724092912
데스게임,17,1,0.0462383724092912
육아물,14,1,0.03807865963118098
최강자전,12,2,0.032638851112440845
로맨틱코미디,11,1,0.029918946853070772
소년왕도물,10,1,0.027199042593700703
