Tag,popular_index,count,ratio(%)
로맨스,2076,43,4.659828062220826
판타지,1748,33,3.923593185338152
액션,1560,21,3.5016049022468634
드라마,1397,22,3.1357320823326074
자극적인,1021,13,2.29175551615003
스릴러,767,13,1.7216224102713742
개그,762,14,1.7103993176359678
가벼운,748,13,1.6789746582568292
공감,741,10,1.6632623285672599
성장물,718,14,1.6116361024443897
액션판타지,617,12,1.384929631209176
설렘폭발,592,11,1.328814168032143
무협/사극,584,6,1.3108572198154924
고인물,582,7,1.3063679827613297
소설원작,561,8,1.259230993692622
시리어스,542,7,1.2165832416780769
청춘,539,14,1.209849386096833
회귀,524,6,1.176180108190613
사이다,519,6,1.1649570155552065
오피스,510,6,1.1447554488114746
아포칼립스,483,7,1.0841507485802788
현대,440,9,0.9876321519157819
동양,426,7,0.9562074925366435
이능력,415,7,0.9315166887387488
고자극드라마,411,8,0.9225382146304235
모험,406,9,0.9113151219950169
컷툰,384,6,0.8619335143992278
러브코미디,383,8,0.8596888958721466
서양,375,7,0.841731947655496
러블리,369,7,0.8282642364930081
일상,355,6,0.7968395771138694
우정,342,10,0.7676595362618123
범죄,330,4,0.7407241139368365
요즘핫한추천작,325,4,0.7295010213014298
고자극스릴러,320,5,0.7182779286660232
소년물,313,6,0.702565598976454
햇살녀,312,4,0.7003209804493726
가족,308,6,0.6913425063410473
힘숨찐,307,4,0.689097887813966
독자PICK,307,6,0.689097887813966
게임판타지,306,6,0.6868532692868846
흑백,295,5,0.6621624654889902
첫사랑,294,5,0.6599178469619088
일상개그힐링,293,5,0.6576732284348275
판무,288,3,0.6464501357994209
왕족/귀족,286,5,0.6419608987452583
능력녀,279,6,0.626248569055689
인생역전,274,3,0.6150254764202824
하이퍼리얼리즘,272,5,0.6105362393661197
힐링,267,5,0.5993131467307131
무해한,267,5,0.5993131467307131
게임,265,6,0.5948239096765504
생존,265,5,0.5948239096765504
병맛,263,5,0.5903346726223878
오컬트판타지,256,6,0.5746223429328186
2025 지상최대공모전,256,4,0.5746223429328186
명랑녀,252,6,0.5656438688244934
현대판타지,245,7,0.5499315391349241
미스터리,244,5,0.5476869206078426
학원로맨스,237,7,0.5319745909182734
열혈,234,4,0.5252407353370294
중세판타지액션,233,3,0.5229961168099482
능글남,232,5,0.5207514982828668
아카데미물,221,3,0.4960606944849723
먼치킨,217,3,0.487082220376647
바디 호러,217,3,0.487082220376647
환골탈태,214,2,0.48034836479540305
직업드라마,210,3,0.4713698906870777
학원액션,207,3,0.46463603510583373
능력남,206,5,0.46239141657875243
동양풍판타지,203,4,0.4556575609975084
로맨틱코미디,202,4,0.4534129424704271
헌터물,201,3,0.45116832394334583
집착남,200,4,0.4489237054162645
배틀,196,5,0.4399452313079392
감성적인,195,3,0.4377006127808579
복수극,193,3,0.43321137572669527
로맨스코미디,191,2,0.4287221386725326
절망적인,190,2,0.4264775201454513
결혼생활,190,2,0.4264775201454513
성장드라마,185,5,0.4152544275100447
판타지개그,182,5,0.40852057192880076
리얼로맨스,180,3,0.4040313348746381
크리처,180,3,0.4040313348746381
이세계,176,3,0.39505286076631274
오컬트,172,3,0.3860743866579875
청춘로맨스,170,3,0.38158514960382484
스포츠,167,5,0.3748512940225808
인외존재,166,3,0.37260667549549953
외유내강녀,166,2,0.37260667549549953
시대물,162,3,0.3636282013871743
블랙코미디,157,2,0.35240510875176767
사회고발,156,2,0.3501604902246863
용사,155,3,0.347915871697605
오피스로맨스,153,2,0.3434266346434423
SF,152,4,0.341182016116361
연애/결혼공감,149,2,0.33444816053511706
마법,149,3,0.33444816053511706
서바이벌,149,2,0.33444816053511706
재회,145,2,0.32546968642679175
학원물,145,3,0.32546968642679175
소심녀,144,2,0.32322506789971045
공식미녀,140,4,0.3142465937913852
평범남,139,2,0.31200197526430384
로판,135,3,0.30302350115597854
열혈병맛개그,129,2,0.28955578999349063
공식미남,120,4,0.26935422324975866
평범녀,120,2,0.26935422324975866
전쟁,116,2,0.2603757491414334
감성,116,3,0.2603757491414334
소년왕도물,115,2,0.2581311306143521
비쥬얼쇼크,111,1,0.2491526565060268
블루스트링,109,1,0.24466341945186418
참교육,109,1,0.24466341945186418
환생,108,1,0.24241880092478285
자본주의,107,1,0.24017418239770152
캠퍼스,105,1,0.23568494534353884
지금추천작,103,1,0.23119570828937622
명작,102,1,0.2289510897622949
피카레스크,101,1,0.22670647123521356
4컷만화,100,1,0.22446185270813224
레드아이스 스튜디오,97,1,0.21772799712688828
동물,96,1,0.21548337859980696
빙의,96,1,0.21548337859980696
야구,95,1,0.21323876007272566
타임슬립,95,1,0.21323876007272566
정통무협,94,1,0.21099414154564433
연하남,91,2,0.20426028596440038
세계관,91,1,0.20426028596440038
재벌남,90,2,0.20201566743731905
눈물샘자극,90,1,0.20201566743731905
계략남,90,3,0.20201566743731905
유혹남,89,2,0.1997710489102377
음식&요리,88,1,0.19752643038315637
2024 연재직행열차,86,2,0.19303719332899374
중년,85,1,0.19079257480191242
괴담,84,1,0.1885479562748311
구원서사,82,3,0.18405871922066844
연예계,80,2,0.1795694821665058
밀리터리,79,1,0.17732486363942448
하이틴,79,3,0.17732486363942448
동양풍로맨스,79,2,0.17732486363942448
캠퍼스로맨스,78,2,0.17508024511234316
악녀,78,1,0.17508024511234316
악역이주인공,78,1,0.17508024511234316
사연녀,76,1,0.1705910080581805
레드스트링,74,1,0.16610177100401788
2022 지상최대공모전,74,2,0.16610177100401788
하렘,73,1,0.16385715247693655
공포,72,3,0.16161253394985522
치명적인,71,1,0.1593679154227739
까칠녀,71,1,0.1593679154227739
아방녀,71,3,0.1593679154227739
인소감성,70,2,0.1571232968956926
정치,70,1,0.1571232968956926
서스펜스,69,1,0.15487867836861124
2023 지상최대공모전,69,1,0.15487867836861124
짐승남,68,1,0.15263405984152992
육아물,67,1,0.1503894413144486
헌신남,67,2,0.1503894413144486
상태창,67,2,0.1503894413144486
미친작화,67,1,0.1503894413144486
빌런,66,2,0.1481448227873673
짝사랑녀,63,2,0.14141096720612334
액션아포칼립스,63,1,0.14141096720612334
후회물,63,2,0.14141096720612334
중세,62,1,0.139166348679042
햇살캐,60,1,0.13467711162487933
혐관,56,2,0.12569863751655405
신화,56,2,0.12569863751655405
짝사랑남,53,1,0.1189647819353101
직진녀,52,2,0.11672016340822876
나쁜남자,49,1,0.1099863078269848
폭스남,49,1,0.1099863078269848
유혹녀,48,1,0.10774168929990348
순진남,48,1,0.10774168929990348
사연남,46,2,0.10325245224574084
다크판타지,46,2,0.10325245224574084
걸크러시,45,2,0.10100783371865953
던전물,44,1,0.09876321519157819
2024 지상최대공모전,43,2,0.09651859666449687
다정남,40,1,0.0897847410832529
무심녀,40,1,0.0897847410832529
직진남,40,1,0.0897847410832529
철벽녀,40,1,0.0897847410832529
후회남,36,1,0.08080626697492761
소심남,34,1,0.07631702992076496
라이벌,33,2,0.07407241139368365
예술,32,2,0.07182779286660232
스포츠성장,31,1,0.069583174339521
축구,31,1,0.069583174339521
2022 최강자전,28,1,0.06284931875827703
최강자전,27,1,0.06060470023119571
이능력배틀물,24,1,0.05387084464995174
동아리,21,1,0.04713698906870777
까칠남,16,2,0.03591389643330116
무심남,15,1,0.03366927790621983
순애남,14,1,0.03142465937913851
공감성수치,10,1,0.022446185270813226
연예계로맨스,8,1,0.01795694821665058
전남친,8,1,0.01795694821665058
2021 지상최대공모전,3,1,0.006733855581243967
4차원,1,1,0.0022446185270813225
얼빠녀,1,1,0.0022446185270813225
