Tag,popular_index,count,ratio(%)
판타지,2343,35,5.341510122195879
드라마,1645,27,3.7502279773846436
액션,1379,24,3.1438081342330846
로맨스,1064,28,2.4256793726062376
자극적인,936,13,2.13386832026263
성장물,813,13,1.8534561371511948
공감,694,10,1.582163049425497
액션판타지,690,11,1.5730439540397594
스릴러,683,12,1.5570855371147183
무협/사극,668,7,1.5228889294182018
가족,650,12,1.481853000182382
소설원작,646,10,1.4727339047966441
고자극드라마,641,7,1.4613350355644719
개그,621,13,1.4157395586357833
현대,595,10,1.356465438628488
시리어스,579,6,1.319989057085537
세계관,559,10,1.2743935801568484
크리처,558,8,1.272113806310414
복수극,548,8,1.2493160678460697
학원물,520,9,1.1854824001459054
고인물,518,5,1.1809228524530366
청춘,476,9,1.0851723509027904
일상,442,8,1.0076600401240197
상태창,422,6,0.962064563195331
배틀,415,6,0.94610614627029
우정,411,13,0.9369870508845521
먼치킨,411,6,0.9369870508845521
회귀,391,6,0.8913915739558637
범죄,387,5,0.8822724785701258
능력녀,385,6,0.877712930877257
생존,379,7,0.8640342877986503
미친작화,372,4,0.8480758708736094
지금추천작,362,4,0.825278132409265
사이다,341,6,0.7774028816341418
감성적인,331,8,0.7546051431697975
모험,327,5,0.7454860477840598
감성,324,7,0.7386467262447566
가벼운,296,7,0.6748130585445924
서양,296,6,0.6748130585445924
용사,295,4,0.6725332846981579
스포츠,286,8,0.6520153200802481
예술,285,4,0.6497355462338137
인외존재,268,5,0.6109793908444282
게임,265,3,0.6041400693051249
요즘핫한추천작,259,4,0.5904614262265183
명랑녀,258,5,0.5881816523800839
일상개그힐링,255,7,0.5813423308407806
연애/결혼공감,254,3,0.5790625569943462
소년물,243,4,0.5539850446835675
병맛,240,4,0.5471457231442641
이능력,239,4,0.5448659492978297
동양,238,4,0.5425861754513952
컷툰,238,4,0.5425861754513952
능력남,234,5,0.5334670800656575
하이퍼리얼리즘,232,3,0.5289075323727886
러브코미디,230,5,0.5243479846799197
악역이주인공,230,3,0.5243479846799197
힐링,229,5,0.5220682108334853
오컬트,229,4,0.5220682108334853
리얼로맨스,227,3,0.5175086631406164
라이벌,224,6,0.5106693416013132
레드아이스 스튜디오,222,4,0.5061097939084442
